CATEGORIA,PRODUCTO,CANTIDAD
PROTEINAS,OSTIONES VIVOS,280PZ
PROTEINAS,TOCINO AHUMADO,150G
PROTEINAS,LOMOS DE JUREL ,1PZ (8-9KG)
PROTEINAS,HOMBRO DE CERDO,2PZ (8-10KG)
ABARROTES,MISO ROJO (AKA MISO) ,300G
ABARROTES,VINAGRE DE VINO TINTO ,500G
ABARROTES,TOSTADAS DE MAÍZ,4 KG
ABARROTES,ACEITE DE OLIVA,1 KG
ABARROTES,SAL,2 KG
ABARROTES,PIMIENTA ,300 G
ABARROTES,TAHINI ,1 KG
ABARROTES,PANKO,300G
ABARROTES,SEMILLAS DE AJONJOLÍ ,200G
ABARROTES,ACEITE NEUTRO ,700G
ABARROTES,COCO RALLADO ,600G
ABARROTES,HARINA DE TRIGO (AP),2KG
ABARROTES,AZÚCAR BLANCA ,3KG
ABARROTES,CHOCOCHIPS,50G
ABARROTES,BBQ ABAL,3LT
ABARROTES,VINAGRE DE MANZANA,3LT
ABARROTES,MOSTAZA,2LT
ABARROTES,PEPINILLOS,1 PZ
ABARROTES,PAPRIKA,1PZ
ABARROTES,AJO EN POLVO,1PZ
ABARROTES, CEBOLLA EN POLVO,1PZ
ABARROTES,HARINA SIR LANCELOT ,5KG
ABARROTES,LEVADURA,200G
ABARROTES,MAYONESA,2LT
ABARROTES,LECHE DE COCO,1.5LT
ABARROTES,EXTRACTO DE VAINILLA ,80G
ABARROTES,POLVO PARA HORNEAR,50G
LACTEOS,MANTEQUILLA,1.5KG
LACTEOS,LABNEH ,1.5KG
LACTEOS,CREMA PARA BATIR,3LT
LACTEOS,LECHE EVAPORADA ,1.5LT
LACTEOS,LECHE CONDENSADA ,3LT
LACTEOS,LECHE ENTERA ,3LT
LACTEOS,HUEVOS ,50PZ
VERDURAS,ECHALOTES,1KG
VERDURAS,CEBOLLÍN (CHIVES) ,300G
VERDURAS,LIMÓN AMARILLO ,2KG
VERDURAS,LIMÓN VERDE ,3KG
VERDURAS,PEPINO ,1.5KG
VERDURAS,PEREJIL ,300G
VERDURAS,TOMATE,3KG
VERDURAS,AGUACATE ,5 KG
VERDURAS,MENTA / HIERBABUENA ,300G
VERDURAS,POROS,4KG
VERDURAS,BROCOLI ,5KG
VERDURAS,COL BLANCA,3 KG
EXTRAS,CARBÓN ,20KG
EXTRAS,LEÑA,1 CARGA (50PZ)
EXTRAS,ALUMINIO,1PZ
EXTRAS,PLATOS CHICOS PAPEL,500PZ
EXTRAS,SERVILLETAS,4PAQ
EXTRAS,MINI TENEDOR BAMBU,250PZ
EXTRAS,BOLSAS DE BASURA,1 PAQ
EXTRAS,GUANTES LATEX NEGROS,1 PAQ
EXTRAS,PAPEL ENCERADO,50PZ
EXTRAS,HIELO MOLIDO,10KG
EXTRAS,CUCHARAS DESECHABLES,100PZ
